"CruiseID";"Date";"Depth";"Salinity";"Prochlorococcus";"HeterotrophBacteria";"Synechococcus";"PicoEukaryotes";"Year";"Month";"Day"
319;2020-01-30;5;34,7482;211321;474969;2438;1462;2020;1;30
319;2020-01-30;25;34,7705;211540;470114;2593;1666;2020;1;30
319;2020-01-30;45;34,7832;226089;455934;3125;2306;2020;1;30
319;2020-01-30;75;34,8938;138842;393944;844;2439;2020;1;30
319;2020-01-30;100;35,0325;78312;327226;52;3418;2020;1;30
319;2020-01-30;125;35,0529;32351;249028;10;1143;2020;1;30
319;2020-01-30;150;35,0085;6554;226018;5;320;2020;1;30
319;2020-01-30;175;34,9183;794;180266;2;99;2020;1;30
320;2020-07-14;5;34,5753;203447;486896;1180;688;2020;7;14
320;2020-07-14;25;34,5804;217644;483985;1213;672;2020;7;14
320;2020-07-14;45;34,7245;306999;616893;1088;589;2020;7;14
320;2020-07-14;75;34,8585;240141;449181;1223;578;2020;7;14
320;2020-07-14;100;34,8635;182220;438941;822;1087;2020;7;14
320;2020-07-14;125;34,8243;87992;414356;70;4060;2020;7;14
320;2020-07-14;150;34,6517;20996;267331;10;1077;2020;7;14
320;2020-07-14;175;34,5027;5064;213162;3;227;2020;7;14
321;2020-08-07;5;34,6331;212057;518398;500;455;2020;8;7
321;2020-08-07;25;34,6341;208318;524830;580;477;2020;8;7
321;2020-08-07;45;34,6372;225769;476489;549;621;2020;8;7
321;2020-08-07;75;34,7486;287518;486662;1475;809;2020;8;7
321;2020-08-07;100;34,8483;291086;426248;1754;759;2020;8;7
321;2020-08-07;125;34,9624;40313;327963;10;1566;2020;8;7
321;2020-08-07;150;34,9022;11790;203508;2;353;2020;8;7
321;2020-08-07;175;34,8344;4476;191567;3;211;2020;8;7
322;2020-09-02;5;34,6413;214634;519448;772;660;2020;9;2
322;2020-09-02;25;34,6396;210315;512507;660;672;2020;9;2
322;2020-09-02;45;34,6549;225182;529282;716;735;2020;9;2
322;2020-09-02;75;34,6958;271751;549867;1046;759;2020;9;2
322;2020-09-02;100;34,9016;150966;422232;615;2878;2020;9;2
322;2020-09-02;125;34,9577;39864;300957;33;1491;2020;9;2
322;2020-09-02;150;34,9469;15229;211086;0;842;2020;9;2
322;2020-09-02;175;34,9303;8454;187462;7;344;2020;9;2
323;2020-09-26;5;34,7091;203925;674674;434;419;2020;9;26
323;2020-09-26;25;34,7089;193870;475364;540;429;2020;9;26
323;2020-09-26;45;34,7089;198122;487190;494;363;2020;9;26
323;2020-09-26;75;34,7999;272720;522834;2143;806;2020;9;26
323;2020-09-26;100;34,9368;178296;390848;458;481;2020;9;26
323;2020-09-26;125;34,9713;27806;261424;14;906;2020;9;26
323;2020-09-26;150;35,013;12045;237180;5;506;2020;9;26
323;2020-09-26;175;34,9597;7077;199908;0;293;2020;9;26
324;2020-11-18;5;34,7591;205575;467900;2948;1139;2020;11;18
324;2020-11-18;25;34,7589;206634;458971;2868;1455;2020;11;18
324;2020-11-18;45;34,7598;214939;451847;3319;1459;2020;11;18
324;2020-11-18;75;34,7756;109975;444959;2415;6670;2020;11;18
324;2020-11-18;100;34,8473;55090;298165;127;1627;2020;11;18
324;2020-11-18;125;34,8855;20223;248702;10;540;2020;11;18
324;2020-11-18;150;34,9846;5215;221099;0;228;2020;11;18
324;2020-11-18;175;35,0108;969;186050;2;68;2020;11;18
325;2020-12-18;5;34,831;193658;393776;3280;1046;2020;12;18
325;2020-12-18;25;34,8314;194817;395019;3142;1057;2020;12;18
325;2020-12-18;45;34,8304;190588;391647;3247;939;2020;12;18
325;2020-12-18;75;34,8314;188412;391070;3279;747;2020;12;18
325;2020-12-18;100;34,8261;63031;292792;76;1909;2020;12;18
325;2020-12-18;125;34,9465;9661;217576;5;343;2020;12;18
325;2020-12-18;150;35,0644;1036;199225;0;90;2020;12;18
325;2020-12-18;175;35,1091;193;174488;5;22;2020;12;18
326;2021-01-12;5;34,9748;151343;342963;1407;782;2021;1;12
326;2021-01-12;25;34,9988;163549;312719;1270;572;2021;1;12
326;2021-01-12;45;35,0132;168969;327509;1221;567;2021;1;12
326;2021-01-12;75;35,0307;187449;328667;1323;554;2021;1;12
326;2021-01-12;100;35,0508;164538;301143;979;654;2021;1;12
326;2021-01-12;125;35,0372;41421;206153;19;1154;2021;1;12
326;2021-01-12;150;35,0596;6187;171753;0;214;2021;1;12
326;2021-01-12;175;35,0096;667;145962;0;63;2021;1;12
327;2021-02-16;5;34,5221;161437;394287;2037;1021;2021;2;16
327;2021-02-16;25;34,7992;225633;424820;3941;1439;2021;2;16
327;2021-02-16;45;34,81;181473;341366;5119;1470;2021;2;16
327;2021-02-16;75;34,8355;204677;361789;5908;1360;2021;2;16
327;2021-02-16;100;34,9561;158188;346454;2385;1092;2021;2;16
327;2021-02-16;125;34,9896;67982;319043;891;1090;2021;2;16
